mention_a_id	mention_b_id	mention_a	mention_b	sim
51320_200106-231336-01	41521_202109-178517-04	those who have borne the burden of fighting a difficult and unpopular war	combatants	0.48347062
51320_200106-231336-01	21914_200706-68315-02	those who have borne the burden of fighting a difficult and unpopular war	every soldier	0.46241498
51320_200106-231336-01	86710_201804-275228-04	those who have borne the burden of fighting a difficult and unpopular war	freedom fighters	0.47095346
51320_200106-231336-01	92436_201910-370037-02	those who have borne the burden of fighting a difficult and unpopular war	people with scarce resources	0.47030285
51320_200106-231336-01	41113_201309-155222-03	those who have borne the burden of fighting a difficult and unpopular war	those who suffer	0.5096309
51320_200106-231336-01	64110_201409-354564-01	those who have borne the burden of fighting a difficult and unpopular war	the people who have power	0.46684763
51320_200106-231336-01	51320_200106-231332-01	those who have borne the burden of fighting a difficult and unpopular war	those who face particular difficulties	0.5496549
22110_198909-311663-01	61320_199611-417611-02	people receiving the Swiss passport who are not integrated at all	Those who do not want to adhere to Swiss values	0.5704639
22110_198909-311663-01	97330_200410-384112-03	people receiving the Swiss passport who are not integrated at all	Those who have already obtained citizenship	0.4650759
92436_201510-368199-02	61620_198811-414918-02	target workers	recruiters	0.48298973
92436_201510-368199-02	21914_199906-50173-02	target workers	Flex workers	0.5484193
92436_201510-368199-02	22110_199405-313749-01	target workers	white and blue-collar workers	0.5391005
92436_201510-368199-02	64110_201409-356406-01	target workers	striking workers	0.5946306
92436_201510-368199-02	51951_201706-247381-01	target workers	Sick workers	0.52335
92436_201510-368199-02	86110_201404-268377-02	target workers	street corner workers	0.5027742
92436_201510-368199-02	41320_201709-167284-02	target workers	Employees Dispatched	0.50477755
92436_201510-368199-02	86110_201804-273718-02	target workers	Field workers	0.53222346
92436_201510-368199-02	61620_198411-412994-02	target workers	JOBS	0.460658
92436_201510-368199-02	21111_201006-75206-02	target workers	jobseekers	0.58312774
92436_201510-368199-02	42420_201710-19583-04	target workers	forced workers	0.5674548
92436_201510-368199-02	61620_198411-412272-02	target workers	essential workers	0.559506
92436_201510-368199-02	21112_199906-45526-02	target workers	pregnant workers	0.48789835
92436_201510-368199-02	41320_202109-176086-03	target workers	sex workers	0.50714016
64110_201409-355606-01	61320_199611-417611-02	Those who operate in the Canton	Those who do not want to adhere to Swiss values	0.51423883
64110_201409-352913-03	32720_201803-288750-01	Those who oppose	Lobbyists	0.5265973
64110_201409-352913-03	21112_201405-88552-04	Those who oppose	nationalists	0.4523322
64110_201409-352913-03	13720_201109-193573-02	Those who oppose	those who died in the cause of freedom	0.4537351
64110_201409-352913-03	35120_201910-375366-01	Those who oppose	Antillians	0.45577785
64110_201409-352913-03	35120_201910-375440-02	Those who oppose	Those who cause environmental damage	0.4720918
64110_201409-352913-03	41320_202109-176555-02	Those who oppose	those who do not have the right to protection	0.52362967
64110_201409-352913-03	22110_201703-327267-03	Those who oppose	those who are not entirely involved	0.5448965
64110_201409-352913-03	51620_199204-227241-02	Those who oppose	those who want to stay	0.5307733
64110_201409-352913-03	41112_199012-127013-03	Those who oppose	globalists	0.46169898
64110_201409-352913-03	21914_200305-56094-02	Those who oppose	dictators	0.48333326
64110_201409-352913-03	41521_201309-161110-04	Those who oppose	the EU supporters	0.49528158
64110_201409-352913-03	51320_201005-235661-01	Those who oppose	the Marxists	0.46255517
64110_201409-352913-03	92436_200109-360335-02	Those who oppose	Neo-Nazis	0.48148328
64110_201409-352913-03	21112_200706-65524-02	Those who oppose	Socialists	0.51609486
64110_201409-352913-03	43901_200710-104046-03	Those who oppose	those who live together	0.45432097
64110_201409-352913-03	22110_200205-317912-02	Those who oppose	those who take initiatives	0.53884816
64110_201409-352913-03	42420_200211-10914-02	Those who oppose	The Moderates	0.5016616
64110_201409-352913-03	21111_199111-31049-02	Those who oppose	advocates	0.5563911
64110_201409-352913-03	62110_200810-95639-02	Those who oppose	the losers	0.46659422
64110_201409-352913-03	41953_201709-170961-02	Those who oppose	The pacifists	0.4939095
64110_201409-352913-03	41113_201309-155222-03	Those who oppose	those who suffer	0.5943421
64110_201409-352913-03	64110_201409-354582-01	Those who oppose	Those who are insecure	0.45151103
64110_201409-352913-03	64110_201409-354564-01	Those who oppose	the people who have power	0.54483664
64110_201409-352913-03	61620_200011-421669-01	Those who oppose	those who love freedom	0.5093124
64110_201409-352913-03	51320_199705-228677-01	Those who oppose	those who refuse to integrate	0.5152855
64110_201409-352913-03	51320_200106-230869-01	Those who oppose	those who have failed	0.48727286
64110_201409-352913-03	51320_200106-231332-01	Those who oppose	those who face particular difficulties	0.47938693
64110_201409-352913-03	51320_200106-231336-01	Those who oppose	those who have borne the burden of fighting a difficult and unpopular war	0.5302832
51620_199705-230035-01	21914_199906-49375-01	those who produce	makers	0.6180887
51620_199705-230035-01	51320_197905-222136-02	those who produce	inventors	0.47669676
51620_199705-230035-01	35120_201910-375440-02	those who produce	Those who cause environmental damage	0.4787537
51620_199705-230035-01	11320_201809-400007-02	those who produce	Everyone who creates intellectual property	0.519348
51620_199705-230035-01	81111_199004-254977-02	those who produce	Billionaires	0.46859747
51620_199705-230035-01	14820_201904-204709-02	those who produce	creative people	0.50156903
51620_199705-230035-01	42110_201309-16732-02	those who produce	Creators	0.5682106
51620_199705-230035-01	21112_200706-63532-02	those who produce	Dealers	0.48136288
51620_199705-230035-01	11620_201409-398170-02	those who produce	prostitutes	0.45530128
51620_199705-230035-01	61320_202011-433870-02	those who produce	freelancers	0.4609009
51620_199705-230035-01	61620_198011-408652-02	those who produce	The few	0.45554885
51620_199705-230035-01	41320_199809-135608-02	those who produce	gardeners	0.47561097
51620_199705-230035-01	41113_201309-155222-03	those who produce	those who suffer	0.51929855
51620_199705-230035-01	64110_201409-354564-01	those who produce	the people who have power	0.47101158
51620_200505-235203-01	21111_200706-58010-01	the mandate holders	The rulers	0.55169487
51620_200505-235203-01	34710_200709-253014-01	the mandate holders	contractual officials	0.4729747
51620_200505-235203-01	22110_200205-316552-01	the mandate holders	representatives of non-governmental organizations	0.45359844
51620_200505-235203-01	31720_200706-215921-01	the mandate holders	the delegations	0.6476631
51620_200505-235203-01	61320_201611-431137-04	the mandate holders	Account holders	0.47896695
51620_200505-235203-01	51951_201706-247239-02	the mandate holders	stakeholders	0.4593143
51620_200505-235203-01	61620_201611-432529-02	the mandate holders	members of the National Assembly	0.46784687
51620_200505-235203-01	42110_201710-18349-02	the mandate holders	authorized persons	0.46080133
51620_200505-235203-01	92436_201910-370091-02	the mandate holders	money holders	0.461356
51620_200505-235203-01	12951_200509-338862-02	the mandate holders	the members of the Commission	0.5302308
51620_200505-235203-01	21914_200305-56094-02	the mandate holders	dictators	0.5117664
51620_200505-235203-01	62110_200810-96923-02	the mandate holders	the members of the coalition	0.49462205
51620_200505-235203-01	22110_200205-317912-02	the mandate holders	those who take initiatives	0.4859056
51620_200505-235203-01	51320_199204-226523-02	the mandate holders	Victims of the SED dictatorship	0.47109497
51620_200505-235203-01	42110_200809-14114-02	the mandate holders	Secretaries of State	0.48988235
51620_200505-235203-01	51620_197905-222701-02	the mandate holders	Stewards of our environment	0.47446883
51620_200505-235203-01	42110_201710-18846-03	the mandate holders	the finance ministers	0.47919357
51620_200505-235203-01	51320_200106-232024-03	the mandate holders	the signatories	0.47161737
51620_200505-235203-01	64110_201409-354564-01	the mandate holders	the people who have power	0.52621156
51320_201005-236016-01	12951_199709-334275-01	Those who sacrifice and work free of charge around the clock for the safety of their fellow citizens	non-adaptive citizens	0.46041614
51320_201005-236016-01	51951_200106-233483-03	Those who sacrifice and work free of charge around the clock for the safety of their fellow citizens	-time criminals	0.47403145
51320_201005-236016-01	13720_201109-193573-02	Those who sacrifice and work free of charge around the clock for the safety of their fellow citizens	those who died in the cause of freedom	0.5294101
51320_201005-236016-01	41320_202109-176555-02	Those who sacrifice and work free of charge around the clock for the safety of their fellow citizens	those who do not have the right to protection	0.5165681
51320_201005-236016-01	41521_199410-131948-03	Those who sacrifice and work free of charge around the clock for the safety of their fellow citizens	Committed citizens	0.50349176
51320_201005-236016-01	92436_201510-366715-03	Those who sacrifice and work free of charge around the clock for the safety of their fellow citizens	the people whose lives are affected by crime	0.48750824
51320_201005-236016-01	42420_201710-19583-04	Those who sacrifice and work free of charge around the clock for the safety of their fellow citizens	forced workers	0.45352894
51320_201005-236016-01	64110_201409-354564-01	Those who sacrifice and work free of charge around the clock for the safety of their fellow citizens	the people who have power	0.49297097
51320_201005-236016-01	64110_201409-354507-01	Those who sacrifice and work free of charge around the clock for the safety of their fellow citizens	those who offend while on bail	0.4706017
51320_201005-236016-01	61620_200011-421669-01	Those who sacrifice and work free of charge around the clock for the safety of their fellow citizens	those who love freedom	0.48071232
86421_199805-256532-01	13720_201109-193573-02	those who have sacrificed so much	those who died in the cause of freedom	0.4969358
86421_199805-256532-01	41113_201309-155222-03	those who have sacrificed so much	those who suffer	0.53307647
86421_199805-256532-01	64110_201409-354564-01	those who have sacrificed so much	the people who have power	0.46296352
86421_199805-256532-01	51320_200106-230869-01	those who have sacrificed so much	those who have failed	0.4866991
86421_199805-256532-01	51320_200106-231336-01	those who have sacrificed so much	those who have borne the burden of fighting a difficult and unpopular war	0.48030773
86421_199805-256532-01	51320_201005-236016-01	those who have sacrificed so much	Those who sacrifice and work free of charge around the clock for the safety of their fellow citizens	0.49289587
51320_200106-231362-01	97710_201112-388802-01	human rights violators	detainees	0.48598146
51320_200106-231362-01	41320_202109-176555-02	human rights violators	those who do not have the right to protection	0.5385872
51320_200106-231362-01	43110_201510-105334-02	human rights violators	Condemned persons	0.49146894
51320_200106-231362-01	41113_202109-173100-03	human rights violators	environmental offenders	0.47969115
51320_200106-231362-01	92436_201510-366715-03	human rights violators	the people whose lives are affected by crime	0.48145714
51320_200106-231362-01	21914_199906-50018-03	human rights violators	the advocates of legalization	0.4712111
51320_200106-231362-01	51320_201912-248986-01	human rights violators	those convicted of committing animal cruelty	0.4976372
42110_201909-20646-01	21112_201405-83041-03	those who use them	internet users	0.45515874
42110_201909-20646-01	41113_201309-155222-03	those who use them	those who suffer	0.5366467
42110_201909-20646-01	23113_199906-296380-03	those who use them	users	0.50653094
42110_201909-20646-01	64110_200811-352531-01	those who use them	those over the age of 65	0.47655398
42110_201909-20646-01	64110_201409-354582-01	those who use them	Those who are insecure	0.48055094
42110_201909-20646-01	64110_201409-352913-03	those who use them	Those who oppose	0.548173
42110_201909-20646-01	51620_199705-230035-01	those who use them	those who produce	0.47731817
51620_199705-230375-01	61620_198811-414918-02	people who want to migrate	recruiters	0.4733725
51620_199705-230375-01	21111_200706-59253-01	people who want to migrate	future residents	0.5064378
51620_199705-230375-01	51620_199204-227241-02	people who want to migrate	those who want to stay	0.7389849
51620_199705-230375-01	22110_200301-320332-02	people who want to migrate	Expatriates	0.49863827
51620_199705-230375-01	51320_201005-235800-01	people who want to migrate	marriage migrants	0.5373323
51620_199705-230375-01	12951_199709-333328-04	people who want to migrate	New citizens	0.47419846
51620_199705-230375-01	12951_200509-338611-02	people who want to migrate	People coming to Europe	0.47692788
51620_199705-230375-01	41113_201709-163899-02	people who want to migrate	people seeking to come to the UK from the EU and elsewhere	0.5628782
51620_199705-230375-01	43901_200710-104046-03	people who want to migrate	those who live together	0.49480298
51620_199705-230375-01	92436_201910-370037-02	people who want to migrate	people with scarce resources	0.4810356
51620_199705-230375-01	41521_201309-162021-02	people who want to migrate	those who for various reasons have had to leave their homeland	0.58264965
51620_199705-230375-01	42110_201710-18893-01	people who want to migrate	those who enter	0.52415806
51620_199705-230375-01	97330_200410-384112-03	people who want to migrate	Those who have already obtained citizenship	0.547289
51620_199705-230375-01	64110_201409-354564-01	people who want to migrate	the people who have power	0.45797426
92436_200710-361647-02	13720_201109-193573-02	those who bear the burden too heavily	those who died in the cause of freedom	0.46131754
92436_200710-361647-02	35120_201910-375440-02	those who bear the burden too heavily	Those who cause environmental damage	0.50406754
92436_200710-361647-02	41320_202109-176555-02	those who bear the burden too heavily	those who do not have the right to protection	0.4780658
92436_200710-361647-02	22110_201703-327267-03	those who bear the burden too heavily	those who are not entirely involved	0.5123119
92436_200710-361647-02	51620_199204-227241-02	those who bear the burden too heavily	those who want to stay	0.49870282
92436_200710-361647-02	61620_198011-408792-02	those who bear the burden too heavily	people who suffer from faulty economic and social policies	0.45860183
92436_200710-361647-02	92436_201910-370037-02	those who bear the burden too heavily	people with scarce resources	0.5070977
92436_200710-361647-02	41113_201309-155222-03	those who bear the burden too heavily	those who suffer	0.6449498
92436_200710-361647-02	64110_201409-354564-01	those who bear the burden too heavily	the people who have power	0.48381847
92436_200710-361647-02	51320_200106-231332-01	those who bear the burden too heavily	those who face particular difficulties	0.5692241
92436_200710-361647-02	51320_200106-231336-01	those who bear the burden too heavily	those who have borne the burden of fighting a difficult and unpopular war	0.57917196
92436_200710-361647-02	64110_201409-352913-03	those who bear the burden too heavily	Those who oppose	0.4976756
92436_200710-361647-02	51320_201005-236016-01	those who bear the burden too heavily	Those who sacrifice and work free of charge around the clock for the safety of their fellow citizens	0.47676003
92436_200710-361647-02	86421_199805-256532-01	those who bear the burden too heavily	those who have sacrificed so much	0.5517833
42110_200610-12995-01	31720_200706-213188-02	Those with money and wealth	peasants	0.45283088
42110_200610-12995-01	51951_201706-247005-02	Those with money and wealth	poor Americans	0.45967492
42110_200610-12995-01	92436_201910-370091-02	Those with money and wealth	money holders	0.5403851
42110_200610-12995-01	81111_199004-254977-02	Those with money and wealth	Billionaires	0.6254122
42110_200610-12995-01	11620_201409-398170-02	Those with money and wealth	prostitutes	0.48924574
42110_200610-12995-01	32720_200604-287431-02	Those with money and wealth	millionaires	0.50231117
42110_200610-12995-01	61620_198011-408792-02	Those with money and wealth	people who suffer from faulty economic and social policies	0.46327138
42110_200610-12995-01	43901_200710-104046-03	Those with money and wealth	those who live together	0.4815079
42110_200610-12995-01	92436_201910-370037-02	Those with money and wealth	people with scarce resources	0.49260932
42110_200610-12995-01	51620_201005-237555-03	Those with money and wealth	people with little savings	0.49892563
42110_200610-12995-01	86421_199805-256532-01	Those with money and wealth	those who have sacrificed so much	0.4517681
51320_198306-223436-01	51320_197006-219052-03	the Tibetan people	the Armenian people	0.5536471
51320_198306-223436-01	21112_201006-77631-03	the Tibetan people	the people of Burma	0.5285098
51320_198306-223436-01	21111_199111-32159-02	the Tibetan people	the Chinese people	0.68222976
51320_198306-223436-01	21112_198510-26627-02	the Tibetan people	the Eskimos	0.49557003
51320_198306-223436-01	14820_201904-204931-02	the Tibetan people	the people of Greenland	0.5104452
51320_198306-223436-01	21112_201905-92010-02	the Tibetan people	Inuit	0.5579067
51320_198306-223436-01	21112_201405-82862-02	the Tibetan people	The Iranian people	0.47577065
51320_198306-223436-01	41953_202109-180539-02	the Tibetan people	the North Korean people	0.46758074
51320_198306-223436-01	51110_201912-248386-02	the Tibetan people	the Salvadoran people	0.524155
51320_198306-223436-01	41112_199012-126986-04	the Tibetan people	the people of Sudan	0.4756595
51320_198306-223436-01	64110_201409-354564-01	the Tibetan people	the people who have power	0.4748495
51620_199705-230673-01	64110_201709-358185-02	Tomorrow	today	0.7743485
51320_201505-240689-01	97710_201112-388741-02	Top talents for science	British scientists and	0.46471715
51320_201505-240689-01	42110_201909-20684-02	Top talents for science	Nobel Prize winners	0.48874396
51320_201505-240689-01	82110_201005-115917-02	Top talents for science	scientists in Canada	0.48717332
51320_201505-240689-01	41113_201309-152617-02	Top talents for science	educational scientists	0.60733175
51320_201505-240689-01	86110_201804-273656-02	Top talents for science	Polish scientists	0.4875833
51320_199204-226593-01	31720_200706-215353-06	Torres Strait Islander People	American Indian/Alaska Natives	0.48041916
51320_199204-226593-01	12951_199309-332244-02	Torres Strait Islander People	the Cuban people	0.45486307
51320_199204-226593-01	41320_200509-143184-02	Torres Strait Islander People	Asian-American and Pacific Islanders	0.5769128
51320_199204-226593-01	61320_202011-434015-02	Torres Strait Islander People	Native Hawaiians	0.4720075
51320_199204-226593-01	61620_199211-416331-04	Torres Strait Islander People	Maori	0.52242845
51320_199204-226593-01	43110_200710-102136-02	Torres Strait Islander People	Mirals citizens	0.45459026
51320_199204-226593-01	41521_200209-140491-02	Torres Strait Islander People	other victims of our colonial past	0.45359766
51320_199204-226593-01	51620_201005-237435-03	Torres Strait Islander People	the Pakistani people	0.46926033
51320_199204-226593-01	41113_200909-145416-02	Torres Strait Islander People	Portuguese people	0.4784831
51320_199204-226593-01	41320_200909-148741-03	Torres Strait Islander People	SPANISH-SPEAKING AMERICANS	0.46863663
51320_199204-226593-01	51620_198706-225440-02	Torres Strait Islander People	Spaniards	0.52009064
51320_201505-240401-01	61620_198811-414918-02	traitors	recruiters	0.47242457
51320_201505-240401-01	97710_201112-388802-01	traitors	detainees	0.48117027
51320_201505-240401-01	41113_199410-129079-02	traitors	whistleblowers	0.46150348
51320_201505-240401-01	31720_200706-215921-01	traitors	the delegations	0.46337658
51320_201505-240401-01	42110_201710-18415-02	traitors	marshals	0.45588624
51320_201505-240401-01	61320_201611-431170-05	traitors	hostages	0.49424052
51320_201505-240401-01	82110_200606-114687-02	traitors	dreamers	0.47158843
51320_201505-240401-01	21112_198712-29417-02	traitors	the attackers	0.5743237
51320_201505-240401-01	21914_200305-56094-02	traitors	dictators	0.53307724
51320_201505-240401-01	86710_201804-275228-04	traitors	freedom fighters	0.45494896
51320_201505-240401-01	51951_201505-243411-02	traitors	militia	0.473678
51320_201505-240401-01	92436_200109-360335-02	traitors	Neo-Nazis	0.45677716
51320_201505-240401-01	51320_199204-226649-03	traitors	POWs	0.50468886
51320_201505-240401-01	51320_201912-249760-02	traitors	Patriots	0.47610128
51320_201505-240401-01	21112_200706-65524-02	traitors	Socialists	0.47207087
51320_201505-240401-01	171101_201506-308944-02	traitors	the Crime Fighters	0.47896367
51320_201505-240401-01	62110_200810-95639-02	traitors	the losers	0.5602284
51320_201505-240401-01	42110_199010-05414-03	traitors	Those who are expelled	0.45699653
51320_201505-240401-01	51320_200106-231336-01	traitors	those who have borne the burden of fighting a difficult and unpopular war	0.46089622
51320_201505-240438-01	32720_201803-288897-02	trappers	fishermen	0.45882457
51320_201505-240438-01	42110_201309-16045-02	trappers	deserters	0.46388298
51320_201505-240438-01	61320_201611-431541-03	trappers	Hunters	0.48104212
51320_201505-240438-01	82110_200606-113863-02	trappers	The objectors	0.4692523
51320_201706-244219-01	12951_200509-337626-01	troubled students	ninth-grade students	0.5951152
51320_201706-244219-01	61320_199611-417993-03	troubled students	A student under 24 years old not living with their parents	0.49150223
51320_201706-244219-01	41113_199809-133812-03	troubled students	Counselors	0.51025796
51320_201706-244219-01	41113_201309-152617-02	troubled students	educational scientists	0.4677254
51320_201706-244219-01	61320_201211-428929-02	troubled students	Luxembourg students	0.47664368
51320_201706-244219-01	82110_201005-116709-02	troubled students	Native students	0.53369045
51320_201706-244219-01	43810_200710-103307-02	troubled students	failing parents	0.45815116
51320_201706-244219-01	23113_201310-300678-04	troubled students	Schools	0.507738
51320_201706-244219-01	21914_200305-55600-02	troubled students	Students under Reform 94	0.6282642
51320_201706-244219-01	14820_201104-201437-02	troubled students	Students who feel bad or are ill	0.6984236
51320_201706-244219-01	42110_199010-05414-03	troubled students	Those who are expelled	0.45277956
51320_201706-244219-01	51320_200106-231332-01	troubled students	those who face particular difficulties	0.49285054
51620_201005-237345-02	41521_201309-160309-01	second language teachers	tutor	0.45485985
51620_201005-237345-02	97710_201112-388698-01	second language teachers	-language newcomers	0.47767723
51620_201005-237345-02	21112_198510-27408-03	second language teachers	Bulgarian Teachers	0.5304768
51620_201005-237345-02	61620_198811-413549-03	second language teachers	teachers from abroad	0.6011325
51620_201005-237345-02	31110_201206-217333-03	second language teachers	religious teachers	0.4827715
51620_201005-237345-02	82110_201005-116709-02	second language teachers	Native students	0.469603
51620_201005-237345-02	41113_202109-173103-03	second language teachers	teachers with experience	0.533146
51620_199204-227530-01	31720_200706-213188-02	Tyrants	peasants	0.49907482
51620_199204-227530-01	21111_200706-58010-01	Tyrants	The rulers	0.58642244
51620_199204-227530-01	31720_200706-216359-03	Tyrants	the oligarchs	0.5033601
51620_199204-227530-01	61320_201611-431170-05	Tyrants	hostages	0.45517737
51620_199204-227530-01	81111_199004-254977-02	Tyrants	Billionaires	0.46448487
51620_199204-227530-01	21112_198712-29417-02	Tyrants	the attackers	0.47912645
51620_199204-227530-01	21914_200305-56094-02	Tyrants	dictators	0.7745577
51620_199204-227530-01	61320_202011-434020-02	Tyrants	GENERALS	0.55144644
51620_199204-227530-01	51320_201005-235661-01	Tyrants	the Marxists	0.47618166
51620_199204-227530-01	51951_201505-243411-02	Tyrants	militia	0.53548634
51620_199204-227530-01	86710_201004-265829-02	Tyrants	the moderators	0.4517132
51620_199204-227530-01	92436_200109-360335-02	Tyrants	Neo-Nazis	0.47120097
51620_199204-227530-01	14820_201504-202864-04	Tyrants	polluters	0.46438807
51620_199204-227530-01	51320_199204-226649-03	Tyrants	POWs	0.47114736
51620_199204-227530-01	21111_198510-24980-02	Tyrants	presidents	0.46180093
51620_199204-227530-01	51320_199204-226523-02	Tyrants	Victims of the SED dictatorship	0.5061991
51620_199204-227530-01	41320_201309-157295-02	Tyrants	the servants	0.48630175
51620_199204-227530-01	62110_200810-95639-02	Tyrants	the losers	0.4622567
51620_199204-227530-01	64110_201409-354564-01	Tyrants	the people who have power	0.55697644
51620_199204-227530-01	51620_200505-235203-01	Tyrants	the mandate holders	0.4569974
51620_199204-227530-01	51320_201505-240401-01	Tyrants	traitors	0.5764601
51110_201912-248028-01	21111_201006-74339-01	intelligence personnel	educated police officers	0.51149637
51110_201912-248028-01	92436_201110-364184-02	intelligence personnel	Advisors	0.48001215
51110_201912-248028-01	171101_200306-303069-02	intelligence personnel	people of advanced age	0.4515311
51110_201912-248028-01	86710_201404-272751-02	intelligence personnel	intellectuals	0.5985641
51110_201912-248028-01	21112_201405-86482-02	intelligence personnel	interns	0.45749032
51110_201912-248028-01	61620_198411-412994-02	intelligence personnel	JOBS	0.47238174
51110_201912-248028-01	32110_199403-282271-04	intelligence personnel	Psychologists	0.4715219
51110_201912-248028-01	42110_200809-14114-02	intelligence personnel	Secretaries of State	0.4651623
51110_201912-248028-01	21914_200305-55460-07	intelligence personnel	consultants	0.45605177
51320_198706-224900-01	42110_201710-18415-02	hauliers	marshals	0.4620784
51320_198706-224900-01	13720_200111-189358-02	hauliers	crews	0.47996753
51320_198706-224900-01	62110_200810-96861-02	hauliers	seafarers	0.4656698
51320_198706-224900-01	21111_201006-75206-02	hauliers	jobseekers	0.47826758
51320_198706-224900-01	42110_201909-21844-03	hauliers	rail passengers	0.45191813
51320_200106-231837-01	61620_201611-432529-02	UKIP MPs	members of the National Assembly	0.45991838
51320_200106-231837-01	62110_200810-96923-02	UKIP MPs	the members of the coalition	0.49802828
51320_200106-231837-01	51620_197410-221522-02	UKIP MPs	the British public	0.46365267
51320_200505-234261-01	42110_199910-09254-02	unauthorized persons	non-consentable individuals	0.47528926
51320_200505-234261-01	41320_202109-176555-02	unauthorized persons	those who do not have the right to protection	0.45720267
51320_200505-234261-01	42110_201710-18349-02	unauthorized persons	authorized persons	0.7393033
51320_200505-234261-01	41521_199410-131948-03	unauthorized persons	Committed citizens	0.48563665
51320_200505-234261-01	23113_199906-296433-02	unauthorized persons	Fraudsters	0.48819977
51320_200505-234261-01	21111_200706-60817-02	unauthorized persons	Registered persons	0.5513997
51320_200505-234261-01	21914_199906-48123-02	unauthorized persons	Protected customers	0.52887267
51320_200505-234261-01	51620_199705-230051-01	unauthorized persons	those who do not have access to it in private	0.49500656
51320_200505-234261-01	51320_200106-231362-01	unauthorized persons	human rights violators	0.48618823
31110_201206-217379-01	21112_201405-88552-04	unionist	nationalists	0.5970751
31110_201206-217379-01	13730_201906-195432-02	unionist	Catholics	0.47675377
31110_201206-217379-01	41953_201709-170515-02	unionist	Civil	0.51061136
31110_201206-217379-01	21914_199906-53209-02	unionist	an Irish society	0.50909513
31110_201206-217379-01	51320_201005-235661-01	unionist	the Marxists	0.45803922
31110_201206-217379-01	21112_200706-65524-02	unionist	Socialists	0.5351923
31110_201206-217379-01	41113_202109-172741-02	unionist	Protestants	0.5644534
31110_201206-217379-01	41113_202109-175240-02	unionist	the communes	0.5141893
31110_201206-217379-01	51320_201505-240401-01	unionist	traitors	0.46433702
51110_201912-248273-01	14820_201104-200709-01	university	state	0.46258947
51110_201912-248273-01	21914_198712-30708-02	university	residents of institutions	0.51799953
51110_201912-248273-01	61320_197611-404690-03	university	scholarship	0.62357366
51110_201912-248273-01	41113_201309-152617-02	university	educational scientists	0.47241515
51110_201912-248273-01	21112_201405-86482-02	university	interns	0.45435643
51110_201912-248273-01	23113_201310-300678-04	university	Schools	0.6269605
51110_201912-248273-01	61320_197211-402397-03	university	the masters	0.5216957
51320_197402-220061-01	41521_201309-160631-02	the South Tyrolans	Austrian athletes	0.487472
51320_197402-220061-01	41112_199012-126991-02	the South Tyrolans	the people in the South	0.51263404
51320_197402-220061-01	41521_201309-159878-02	the South Tyrolans	the local elites in the South	0.4762591
51320_197402-220061-01	64110_201409-355606-01	the South Tyrolans	Those who operate in the Canton	0.4668426
51620_201505-241129-01	43810_200710-103762-02	the Venetians	the Estonians	0.47160277
51620_201505-241129-01	61320_200011-420445-02	the Venetians	the Italian citizens	0.4979387
51620_201505-241129-01	21112_200706-64467-03	the Venetians	Italian families	0.45150858
64110_201409-354445-02	22110_200205-317130-03	the Venezuelan people	million people	0.45463294
64110_201409-354445-02	34710_200709-253004-03	the Venezuelan people	The Afghan people	0.577301
64110_201409-354445-02	171101_200907-305256-02	the Venezuelan people	the leaders of the South African people	0.46741676
64110_201409-354445-02	12951_199309-332244-02	the Venezuelan people	the Cuban people	0.66060054
64110_201409-354445-02	51951_201706-247005-02	the Venezuelan people	poor Americans	0.46478993
64110_201409-354445-02	42110_201710-18324-02	the Venezuelan people	Cuban and Haitian refugees	0.48456144
64110_201409-354445-02	21111_200706-61079-02	the Venezuelan people	cypriots	0.45355314
64110_201409-354445-02	21914_200305-56094-02	the Venezuelan people	dictators	0.5066387
64110_201409-354445-02	92436_201510-366715-03	the Venezuelan people	the people whose lives are affected by crime	0.45954132
64110_201409-354445-02	14820_201904-204931-02	the Venezuelan people	the people of Greenland	0.45744857
64110_201409-354445-02	21112_201405-82862-02	the Venezuelan people	The Iranian people	0.54126084
64110_201409-354445-02	41953_202109-180539-02	the Venezuelan people	the North Korean people	0.50443476
64110_201409-354445-02	51320_201005-235661-01	the Venezuelan people	the Marxists	0.5430938
64110_201409-354445-02	21112_201006-78101-04	the Venezuelan people	the Mexican society	0.48408872
64110_201409-354445-02	171101_201506-309066-02	the Venezuelan people	new Americans	0.46189392
64110_201409-354445-02	171101_201207-307755-02	the Venezuelan people	the people of Panama	0.48869932
64110_201409-354445-02	21112_200706-65524-02	the Venezuelan people	Socialists	0.4834458
64110_201409-354445-02	41113_200909-145416-02	the Venezuelan people	Portuguese people	0.56055343
64110_201409-354445-02	51110_201912-248386-02	the Venezuelan people	the Salvadoran people	0.6866649
64110_201409-354445-02	41112_199012-126991-02	the Venezuelan people	the people in the South	0.5645385
64110_201409-354445-02	41112_199012-126986-04	the Venezuelan people	the people of Sudan	0.5277308
64110_201409-354445-02	64110_201409-354564-01	the Venezuelan people	the people who have power	0.52030444
86421_199805-256386-01	23113_201310-300873-02	asbestos victims	Cancer patients	0.47205558
86421_199805-256386-01	61620_200411-424506-02	asbestos victims	Individuals who are jointly victims of a case of mass damage	0.45832407
86421_199805-256386-01	14820_201104-201517-02	asbestos victims	People who become ill as a result of environmental pollution	0.4581777
51951_201706-246732-01	13720_201109-193573-02	Victims of National Socialism	those who died in the cause of freedom	0.5290524
51951_201706-246732-01	51320_201005-235661-01	Victims of National Socialism	the Marxists	0.5518978
